observation_date,NHNQGSP
2016-01-01,78799.0
2016-04-01,79709.8
2016-07-01,80395.6
2016-10-01,80134.3
2017-01-01,80234.2
2017-04-01,80350.2
2017-07-01,82001.6
2017-10-01,82132.4
2018-01-01,83363.3
2018-04-01,83651.5
2018-07-01,84166.1
2018-10-01,84256.6
2019-01-01,87041.5
2019-04-01,87416.5
2019-07-01,88411.5
2019-10-01,88603.2
2020-01-01,89888.6
2020-04-01,81604.8
2020-07-01,90258.4
2020-10-01,92358.8
2021-01-01,92867.1
2021-04-01,98653.8
2021-07-01,100601.1
2021-10-01,104248.4
2022-01-01,102803.3
2022-04-01,105801.4
2022-07-01,107821.3
2022-10-01,109526.1
2023-01-01,111472.7
2023-04-01,113379.0
2023-07-01,115022.4
2023-10-01,116529.2
2024-01-01,118760.2
2024-04-01,120162.8
2024-07-01,122085.6
2024-10-01,123748.8
